client_ID,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,gender,marital_status,education_level,country,state,city,city_latitude,city_longitude,employment_type,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,open_accounts,credit_utilization_ratio,past_delinquencies,dti_group,loan_income_group,income_group,loan_amount_group,risk_segment
CUST_00001,22,59000,RENT,4.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,Male,Married,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,36,0.593220338983051,8402.45384953311,0.735634811009036,14,0.495556687418608,0,Very High DTI,>=40%,Medium Income,Very Large Loan,High Risk
CUST_00002,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,Female,Divorced,Master,Canada,Ontario,Toronto,43.6532,-79.3832,Full-time,36,0.104166666666667,1607.80279443584,0.2716461244204,10,0.585436021599756,3,Medium DTI,<10%,Low Income,Small Loan,Low Risk
CUST_00003,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,Female,Married,Master,UK,Wales,Swansea,51.6214,-3.9436,Full-time,36,0.572916666666667,2760.50563322208,0.860469336793967,14,0.750731836990708,0,Very High DTI,>=40%,Low Income,Medium Loan,High Risk
CUST_00004,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,Male,Married,Bachelor,Canada,BC,Vancouver,49.2827,-123.1207,Part-time,12,0.534351145038168,7155.28615008959,0.6435921549632,15,0.379333426811299,0,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00005,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,Female,Single,Bachelor,USA,New York,Buffalo,42.8864,-78.8784,Part-time,36,0.643382352941177,15626.1534394079,0.930627820577352,4,0.228102707027924,0,Very High DTI,>=40%,Medium Income,Very Large Loan,High Risk
CUST_00006,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,Male,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,36,0.252525252525252,2211.74113369858,0.475933447848342,10,0.827033999425475,0,High DTI,20-30%,Low Income,Small Loan,Medium Risk
CUST_00007,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,Female,Widowed,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,36,0.453955901426718,21503.495721637,0.732859866687899,15,0.190336986940265,1,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00008,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,Female,Single,High School,Canada,Quebec,Quebec City,46.8139,-71.208,Self-employed,36,0.443284867521151,14338.7610311893,0.624889318496242,6,0.850098004987205,0,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00009,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,Female,Married,Master,USA,Texas,Dallas,32.7767,-96.797,Part-time,24,0.421686746987952,22017.8596074229,0.686962163944854,10,0.876532282126225,1,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00010,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,Male,Single,Bachelor,UK,Scotland,Glasgow,55.8642,-4.2518,Part-time,24,0.16,1513.55998414173,0.311355998414173,11,0.586626497039667,0,Medium DTI,10-20%,Low Income,Small Loan,High Risk
